Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45
Gene31	8.57	7.29	6.91	7.59	6.9	7.84	14.37	28.23	21.25	18.26	23.29	30.65	22.38	24.83	21.95	15.35	26.82	26.76	29.88	29.52	29.8	7.04	29.96	40.64	27.24	14.38	12.29	15.66	11.6	13.22	13.94	18.4	14.93	19.38	18.71	21.58	27.24	13.32	19.14	15.04	17.34	14.8	20.39	16.91	16.29
Gene32	1.67	1.69	0.96	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0.15	0.13	0.19	0	0	0
Gene33	0.34	0.19	0.38	0.41	0.28	0.24	0.16	0.05	0	0.18	0.06	0.33	0	0.05	0	0.1	0.07	0	0.05	0.11	0.19	0	0.47	0.08	0.23	0.09	0.1	0.19	0.09	0.17	0.28	0.19	0.06	0.12	0.19	0.13	0.26	0	0.12	0	0.15	0	0.14	0.4	0.39
Gene34	23.97	27.22	25.23	26.79	27.91	20.48	27.3	15.31	25.71	26.23	19.82	14.68	27.9	14.57	19.24	30.78	14.21	20.29	17.96	18.5	24.24	2.92	19.21	22.95	28.43	16.48	17.17	16.44	14.33	14.84	14.75	7.1	7.97	10.88	10.7	9.64	16.83	13.1	10.69	11.56	8.93	10.47	11.06	13.1	14.51
Gene35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene36	4.79	6.05	5.03	7.36	6.39	7.8	0.9	0.11	0.91	1.94	0.34	0.12	1.5	1.28	0.31	0.82	0.6	0.59	0.22	0.88	0.69	0.06	1.15	1.47	0.53	0.78	1.37	2.21	1.46	1.58	1.36	1.21	0.88	1.32	0.99	1.2	1.85	1.58	0.37	2.45	2.15	0.85	1.22	2.47	1.75
Gene37	10.29	9.1	10.83	10.28	8.66	9.54	23.61	39.21	46.99	21.18	39.02	36.71	36.14	35.44	44.08	27.21	45.75	40	34.62	39.19	54.96	12.66	32.93	75.18	61.38	16.27	17.55	27.97	18.64	18.42	22.73	18.39	16.81	29.69	22.06	21.41	25.37	24.7	20.96	20.4	22.09	21.4	26.92	21.55	20.01
Gene38	23.48	26.08	26.67	29.38	27.09	21.37	16.63	9.69	7.06	17.36	5.26	9.74	15.24	7.13	9.17	17.18	10.47	10.23	7.89	5.9	14.56	2.34	9.49	4.35	11.8	13.28	18.63	15.88	13.73	13.95	15.29	11.4	2.9	12.68	9.06	11.73	21.85	11.04	11.05	10.85	13.78	8.92	12.88	18.32	14.66
Gene39	0.1	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0.58	0.27	0.12	0	0	0	0	0	0	0.43	0	0	0	0.08	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0
Gene40	40.32	43.85	39.87	42.06	39.1	41.41	38.84	40.27	54.07	40.47	45.76	25.66	42.33	52.62	49.58	34.25	44.28	51.36	49.9	51.14	56.7	9.22	47.43	52.81	37.29	34.63	32.3	42.15	35.64	32.94	43.99	27.77	24.52	53.96	41.94	36.99	40.42	23.35	29.49	33.52	33.63	29.32	35.21	29.85	31.63
Gene41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene42	107.19	104.67	103.34	106.96	103.65	102.5	62.44	39.74	44.61	59.98	48.47	38.89	56.69	43.3	39.54	57.16	55.89	48.33	50.41	53.37	43.59	2.63	57.75	47.13	48.24	41.72	44.17	48.15	41.04	40.77	50.41	29.48	30.09	64.2	49.91	43.73	45.16	31.21	43.73	52.94	47.86	39.75	50.02	45.48	44.92
Gene43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
